"109339","31773","2","2","100"
"1085301","null","8","2","25"
"1029244","17687","2","2","100"
"999639","17451","1","1","100"
"999034","null","3","1","33.33"
"998423","13803","1","1","100"
"998062","17981","1","1","100"
"997713","17100","1","1","100"
"9972","23252","1","1","100"
"995083","17981","1","1","100"
"994771","17100","1","1","100"
"994384","17981","1","1","100"
"994294","13803","1","1","100"
"99374","39903","1","1","100"
"993609","36756","1","1","100"
"992532","2856","1","1","100"
"991720","18316","1","1","100"
"991694","16982","1","1","100"
"991657","33951","1","1","100"
"991589","1602","1","1","100"
"990461","33947","1","1","100"
"989801","16820","1","1","100"
"989724","17915","1","1","100"
"989618","32167","1","1","100"
"989448","18232","1","1","100"
"989191","null","2","1","50"
"987889","18232","1","1","100"
"987874","33949","1","1","100"
"98743","30718","2","1","50"
"987322","16992","1","1","100"
"983079","33951","2","1","50"
"982738","17915","1","1","100"
"982347","17285","1","1","100"
"981928","18164","1","1","100"
"981818","771","1","1","100"
"981810","36756","1","1","100"
"981392","68395","1","1","100"
"981317","18164","1","1","100"
"981104","33951","1","1","100"
"980421","33960","1","1","100"
"980342","41344","1","1","100"
"979911","31773","1","1","100"
"979898","18170","2","1","50"
"978925","16982","1","1","100"
"977895","46711","1","1","100"
"976817","17259","1","1","100"
"976562","39903","1","1","100"
"976316","64582","1","1","100"
"976251","771","1","1","100"
"975339","33959","1","1","100"
"974938","18170","1","1","100"
"974817","39903","1","1","100"
"974777","16800","1","1","100"
"973953","39903","1","1","100"
"973396","18170","1","1","100"
"971210","17725","1","1","100"
"970886","41265","2","1","50"
"970089","17285","1","1","100"
"969740","45028","2","1","50"
"969553","53485","1","1","100"
"9691","48543","1","1","100"
"968507","28200","1","1","100"
"968480","33946","1","1","100"
"967866","45299","1","1","100"
"964719","46711","1","1","100"
"964243","17665","1","1","100"
"963967","46754","1","1","100"
"963165","27865","2","1","50"
"962415","50188","1","1","100"
"960846","27865","1","1","100"
"959434","18170","1","1","100"
"959311","17725","1","1","100"
"959075","16800","1","1","100"
"957348","48543","1","1","100"
"956648","31514","1","1","100"
"95643","18311","1","1","100"
"956278","53717","1","1","100"
"955740","17494","1","1","100"
"955074","60612","1","1","100"
"954954","173","1","1","100"
"953722","31773","1","1","100"
"952763","17725","1","1","100"
"951673","54008","1","1","100"
"95","39903","1","1","100"
"947736","17737","1","1","100"
"947724","16800","1","1","100"
"946416","64582","1","1","100"
"944619","29830","2","1","50"
"943647","47295","1","1","100"
"943629","33947","1","1","100"
"941702","33951","1","1","100"
"941683","17665","2","1","50"
"941157","28200","1","1","100"
"940755","12478","1","1","100"
"939217","33959","1","1","100"
"93493","18170","1","1","100"
"93373","42669","1","1","100"
"933709","18136","2","1","50"
"933312","17981","1","1","100"
"93309","17451","1","1","100"
"932391","29830","1","1","100"
"932086","33949","1","1","100"
"932002","60612","1","1","100"
"931790","17725","1","1","100"
"929366","51598","1","1","100"
"928614","41265","1","1","100"
"928452","33949","1","1","100"
"92839","51930","1","1","100"
"928388","68395","1","1","100"
